year,state_code,state,law_change,midterm,vep_total,vep_highest,vep_highest100,vap_highest,median_age,race_percent_minority,race_percent_minority100,gender_percent_females ,gender_percent_females100, num_females , tot_pop , num_whites , num_blacks , num_minority 
1994,14,Illinois,,,0.39,0.38,38,0.35,,,0,,0,,,,,
1992,14,Illinois,,,0.64,0.62,62,0.58,,,0,,0,,,,,
1990,14,Illinois,,,0.43,0.41,41,0.38,,,0,,0,,,,,
1988,14,Illinois,,,0.59,0.57,57,0.54,,,0,,0,,,,,
1986,14,Illinois,,,0.42,0.4,40,0.38,,,0,,0,,,,,
1984,14,Illinois,,,0.63,0.61,61,0.58,,,0,,0,,,,,
1982,14,Illinois,,,0.49,0.47,47,0.44,,,0,,0,,,,,
1980,14,Illinois,,,0.62,0.6,60,0.58,,,0,,0,,,,,
2016,15,Indiana,,,0.58,0.56,56,0.54,,,0,,0,,,,,
2014,15,Indiana,,,0.29,0.28,28,0.27,,,0,,0,,,,,
2012,15,Indiana,,,0.56,0.55,55,0.53,,,0,,0,,,,,
2010,15,Indiana,,,0.38,0.37,37,0.36,,,0,,0,,,,,
2008,15,Indiana,,,0.6,0.59,59,0.57,,,0,,0,,,,,
2006,15,Indiana,,,0.38,0.37,37,0.35,,,0,,0,,,,,
2004,15,Indiana,,,0.56,0.55,55,0.53,,,0,,0,,,,,
2002,15,Indiana,,,0.35,0.34,34,0.33,,,0,,0,,,,,
2000,15,Indiana,,,0.51,0.49,49,0.48,,,0,,0,,,,,
1998,15,Indiana,,,0.37,0.37,37,0.36,,,0,,0,,,,,
1996,15,Indiana,,,0.51,0.5,50,0.49,,,0,,0,,,,,
1994,15,Indiana,,,0.38,0.36,36,0.36,,,0,,0,,,,,
1992,15,Indiana,,,0.56,0.55,55,0.55,,,0,,0,,,,,
1990,15,Indiana,,,0.38,0.37,37,0.36,,,0,,0,,,,,
1988,15,Indiana,,,0.56,0.54,54,0.54,,,0,,0,,,,,
1986,15,Indiana,,,0.41,0.39,39,0.39,,,0,,0,,,,,
1984,15,Indiana,,,0.58,0.57,57,0.56,,,0,,0,,,,,
1982,15,Indiana,,,0.47,0.47,47,0.46,,,0,,0,,,,,
1980,15,Indiana,,,0.59,0.58,58,0.58,,,0,,0,,,,,
2016,16,Iowa,,,0.69,0.68,68,0.65,,,0,,0,,,,,
2014,16,Iowa,,,0.5,0.5,50,0.47,,,0,,0,,,,,
2012,16,Iowa,,,0.71,0.7,70,0.67,,,0,,0,,,,,
2010,16,Iowa,,,0.51,0.5,50,0.48,,,0,,0,,,,,
2008,16,Iowa,,,0.7,0.69,69,0.67,,,0,,0,,,,,
2006,16,Iowa,,,0.49,0.48,48,0.46,,,0,,0,,,,,
2004,16,Iowa,,,0.71,0.7,70,0.67,,,0,,0,,,,,
2002,16,Iowa,,,0.49,0.48,48,0.46,,,0,,0,,,,,
2000,16,Iowa,,,,0.63,63,0.6,,,0,,0,,,,,
1998,16,Iowa,,,0.46,0.45,45,0.44,,,0,,0,,,,,
1996,16,Iowa,,,0.6,0.59,59,0.57,,,0,,0,,,,,
1994,16,Iowa,,,0.49,0.48,48,0.47,,,0,,0,,,,,
1992,16,Iowa,,,0.66,0.66,66,0.65,,,0,,0,,,,,
1990,16,Iowa,,,0.5,0.48,48,0.48,,,0,,0,,,,,
1988,16,Iowa,,,0.61,0.61,61,0.6,,,0,,0,,,,,
1986,16,Iowa,,,0.46,0.45,45,0.44,,,0,,0,,,,,
1984,16,Iowa,,,0.65,0.64,64,0.63,,,0,,0,,,,,
1982,16,Iowa,,,0.51,0.5,50,0.5,,,0,,0,,,,,
1980,16,Iowa,,,0.64,0.64,64,0.63,,,0,,0,,,,,
2016,17,Kansas,,,0.6,0.58,58,0.54,,,0,,0,,,,,
2014,17,Kansas,,,0.43,0.43,43,0.4,,,0,,0,,,,,
2012,17,Kansas,,,0.58,0.57,57,0.54,,,0,,0,,,,,
2010,17,Kansas,,,0.43,0.42,42,0.39,,,0,,0,,,,,
2008,17,Kansas,,,0.64,0.62,62,0.59,,,0,,0,,,,,
2006,17,Kansas,,,0.44,0.44,44,0.41,,,0,,0,,,,,
2004,17,Kansas,,,0.63,0.62,62,0.58,,,0,,0,,,,,
2002,17,Kansas,,,0.45,0.44,44,0.41,,,0,,0,,,,,
2000,17,Kansas,,,0.57,0.56,56,0.54,,,0,,0,,,,,
1998,17,Kansas,,,0.4,0.39,39,0.37,,,0,,0,,,,,
1996,17,Kansas,,,0.58,0.57,57,0.55,,,0,,0,,,,,
1994,17,Kansas,,,0.46,0.45,45,0.43,,,0,,0,,,,,
1992,17,Kansas,,,0.64,0.64,64,0.62,,,0,,0,,,,,
1990,17,Kansas,,,0.45,0.44,44,0.43,,,0,,0,,,,,
1988,17,Kansas,,,,0.56,56,0.55,,,0,,0,,,,,
1986,17,Kansas,,,,0.48,48,0.47,,,0,,0,,,,,
1984,17,Kansas,,,,0.58,58,0.57,,,0,,0,,,,,
1982,17,Kansas,,,,0.44,44,0.43,,,0,,0,,,,,
1980,17,Kansas,,,,0.58,58,0.57,,,0,,0,,,,,
2016,18,Kentucky,,,0.6,0.59,59,0.56,,,0,,0,,,,,
2014,18,Kentucky,,,0.45,0.44,44,0.42,,,0,,0,,,,,
2012,18,Kentucky,,,0.56,0.56,56,0.53,,,0,,0,,,,,
2010,18,Kentucky,,,0.44,0.42,42,0.41,,,0,,0,,,,,
2008,18,Kentucky,,,0.59,0.58,58,0.56,,,0,,0,,,,,
2006,18,Kentucky,,,0.44,0.4,40,0.39,,,0,,0,,,,,
2004,18,Kentucky,,,0.59,0.59,59,0.57,,,0,,0,,,,,
2002,18,Kentucky,,,,0.37,37,0.36,,,0,,0,,,,,
2000,18,Kentucky,,,0.53,0.52,52,0.5,,,0,,0,,,,,
1998,18,Kentucky,,,0.42,0.39,39,0.38,,,0,,0,,,,,
1996,18,Kentucky,,,0.49,0.48,48,0.47,,,0,,0,,,,,
1994,18,Kentucky,,,0.29,0.28,28,0.27,,,0,,0,,,,,
1992,18,Kentucky,,,,0.54,54,0.53,,,0,,0,,,,,
1990,18,Kentucky,,,,0.34,34,0.33,,,0,,0,,,,,
1988,18,Kentucky,,,,0.49,49,0.49,,,0,,0,,,,,
1986,18,Kentucky,,,,0.26,26,0.25,,,0,,0,,,,,
1984,18,Kentucky,,,,0.52,52,0.51,,,0,,0,,,,,
1982,18,Kentucky,,,,0.27,27,0.27,,,0,,0,,,,,
1980,18,Kentucky,,,,0.51,51,0.5,,,0,,0,,,,,
2016,19,Louisiana,,,0.61,0.6,60,0.57,35.8,0.374374748,37.4374748,0.51045447,51.045447,"2,314,080.00","4,533,372.00","2,836,192.00","1,452,396.00","1,697,180.00"
2014,19,Louisiana,,,0.45,0.44,44,0.42,35.8,0.374374748,37.4374748,0.51045447,51.045447,"2,314,080.00","4,533,372.00","2,836,192.00","1,452,396.00","1,697,180.00"
2012,19,Louisiana,,,0.61,0.6,60,0.57,35.8,0.374374748,37.4374748,0.51045447,51.045447,"2,314,080.00","4,533,372.00","2,836,192.00","1,452,396.00","1,697,180.00"
2010,19,Louisiana,,,0.4,0.39,39,0.37,35.8,0.374374748,37.4374748,0.51045447,51.045447,"2,314,080.00","4,533,372.00","2,836,192.00","1,452,396.00","1,697,180.00"
2008,19,Louisiana,,,0.62,0.61,61,0.59,34,0.360891399,36.0891399,0.516018211,51.6018211,"2,306,073.00","4,468,976.00","2,856,161.00","1,451,944.00","1,612,815.00"
2006,19,Louisiana,,,0.31,0.3,30,0.28,34,0.360891399,36.0891399,0.516018211,51.6018211,"2,306,073.00","4,468,976.00","2,856,161.00","1,451,944.00","1,612,815.00"
2004,19,Louisiana,,,0.62,0.61,61,0.59,34,0.360891399,36.0891399,0.516018211,51.6018211,"2,306,073.00","4,468,976.00","2,856,161.00","1,451,944.00","1,612,815.00"
2002,19,Louisiana,,,0.4,0.39,39,0.38,34,0.360891399,36.0891399,0.516018211,51.6018211,"2,306,073.00","4,468,976.00","2,856,161.00","1,451,944.00","1,612,815.00"
2000,19,Louisiana,,,0.57,0.56,56,0.54,34,0.360891399,36.0891399,0.516018211,51.6018211,"2,306,073.00","4,468,976.00","2,856,161.00","1,451,944.00","1,612,815.00"
1998,19,Louisiana,,,0.32,0.31,31,0.3,31,0.327214179,32.7214179,0.51862583,51.862583,"2,188,587.00","4,219,973.00","2,839,138.00","1,299,281.00","1,380,835.00"
1996,19,Louisiana,,,0.58,0.58,58,0.56,31,0.327214179,32.7214179,0.51862583,51.862583,"2,188,587.00","4,219,973.00","2,839,138.00","1,299,281.00","1,380,835.00"
1994,19,Louisiana,,,0.29,0.27,27,0.27,31,0.327214179,32.7214179,0.51862583,51.862583,"2,188,587.00","4,219,973.00","2,839,138.00","1,299,281.00","1,380,835.00"
1992,19,Louisiana,,,0.6,0.6,60,0.58,31,0.327214179,32.7214179,0.51862583,51.862583,"2,188,587.00","4,219,973.00","2,839,138.00","1,299,281.00","1,380,835.00"
1990,19,Louisiana,,,,0.47,47,0.46,31,0.327214179,32.7214179,0.51862583,51.862583,"2,188,587.00","4,219,973.00","2,839,138.00","1,299,281.00","1,380,835.00"
1988,19,Louisiana,,,,0.55,55,0.54,27.3,0.307598374,30.7598374,0.514992273,51.4992273,"2,166,006.00","4,205,900.00","2,912,172.00","1,238,241.00","1,293,728.00"
1986,19,Louisiana,,,,0.45,45,0.45,27.3,0.307598374,30.7598374,0.514992273,51.4992273,"2,166,006.00","4,205,900.00","2,912,172.00","1,238,241.00","1,293,728.00"
1984,19,Louisiana,,,,0.57,57,0.56,27.3,0.307598374,30.7598374,0.514992273,51.4992273,"2,166,006.00","4,205,900.00","2,912,172.00","1,238,241.00","1,293,728.00"
1982,19,Louisiana,,,,,0,,27.3,0.307598374,30.7598374,0.514992273,51.4992273,"2,166,006.00","4,205,900.00","2,912,172.00","1,238,241.00","1,293,728.00"
1980,19,Louisiana,,,,0.54,54,0.53,27.3,0.307598374,30.7598374,0.514992273,51.4992273,"2,166,006.00","4,205,900.00","2,912,172.00","1,238,241.00","1,293,728.00"
2016,20,Maine,,,0.73,0.71,71,0.69,,,0,,0,,,,,
2014,20,Maine,,,0.59,0.58,58,0.57,,,0,,0,,,,,
2012,20,Maine,,,0.69,0.68,68,0.67,,,0,,0,,,,,
2010,20,Maine,,,0.56,0.55,55,0.54,,,0,,0,,,,,
2008,20,Maine,,,0.72,0.71,71,0.7,,,0,,0,,,,,
2006,20,Maine,,,,0.54,54,0.53,,,0,,0,,,,,
2004,20,Maine,,,0.75,0.74,74,0.73,,,0,,0,,,,,
2002,20,Maine,,,,0.51,51,0.5,,,0,,0,,,,,
2000,20,Maine,,,,0.67,67,0.66,,,0,,0,,,,,
1998,20,Maine,,,,0.52,52,0.51,,,0,,0,,,,,
1996,20,Maine,,,,0.65,65,0.64,,,0,,0,,,,,
1994,20,Maine,,,,0.56,56,0.55,,,0,,0,,,,,
1992,20,Maine,,,,0.74,74,0.73,,,0,,0,,,,,
1990,20,Maine,,,,0.57,57,0.57,,,0,,0,,,,,
1988,20,Maine,,,,0.63,63,0.62,,,0,,0,,,,,
1986,20,Maine,,,,0.5,50,0.49,,,0,,0,,,,,
1984,20,Maine,,,,0.66,66,0.65,,,0,,0,,,,,
1982,20,Maine,,,,0.56,56,0.56,,,0,,0,,,,,
1980,20,Maine,,,,0.65,65,0.65,,,0,,0,,,,,
2016,21,Maryland,,,0.67,0.67,67,0.6,,,0,,0,,,,,
2014,21,Maryland,,,0.42,0.42,42,0.37,,,0,,0,,,,,
2012,21,Maryland,,,0.67,0.67,67,0.6,,,0,,0,,,,,
2010,21,Maryland,,,0.47,0.46,46,0.42,,,0,,0,,,,,
2008,21,Maryland,,,0.68,0.67,67,0.61,,,0,,0,,,,,
2006,21,Maryland,,,0.47,0.47,47,0.42,,,0,,0,,,,,
2004,21,Maryland,,,0.63,0.63,63,0.57,,,0,,0,,,,,
2002,21,Maryland,,,0.47,0.46,46,0.42,,,0,,0,,,,,
2000,21,Maryland,,,0.56,0.56,56,0.51,,,0,,0,,,,,
1998,21,Maryland,,,0.44,0.43,43,0.4,,,0,,0,,,,,
1996,21,Maryland,,,0.51,0.5,50,0.47,,,0,,0,,,,,
1994,21,Maryland,,,0.41,0.41,41,0.38,,,0,,0,,,,,
1992,21,Maryland,,,0.58,0.58,58,0.54,,,0,,0,,,,,
1990,21,Maryland,,,0.35,0.33,33,0.31,,,0,,0,,,,,
1988,21,Maryland,,,0.53,0.52,52,0.49,,,0,,0,,,,,
1986,21,Maryland,,,0.36,0.35,35,0.33,,,0,,0,,,,,
1984,21,Maryland,,,0.55,0.54,54,0.51,,,0,,0,,,,,
1982,21,Maryland,,,0.39,0.38,38,0.36,,,0,,0,,,,,
1980,21,Maryland,,,0.53,0.52,52,0.5,,,0,,0,,,,,
2016,22,Massachusetts,,,0.68,0.67,67,0.61,,,0,,0,,,,,
2014,22,Massachusetts,,,0.45,0.44,44,0.4,,,0,,0,,,,,
2012,22,Massachusetts,,,0.66,0.66,66,0.6,,,0,,0,,,,,
2010,22,Massachusetts,,,0.49,0.49,49,0.45,,,0,,0,,,,,
2008,22,Massachusetts,,,0.67,0.67,67,0.61,,,0,,0,,,,,
2006,22,Massachusetts,,,0.49,0.49,49,0.44,,,0,,0,,,,,
2004,22,Massachusetts,,,0.65,0.64,64,0.59,,,0,,0,,,,,
2002,22,Massachusetts,,,0.5,0.49,49,0.44,,,0,,0,,,,,
2000,22,Massachusetts,,,0.61,0.6,60,0.55,,,0,,0,,,,,
1998,22,Massachusetts,,,0.44,0.43,43,0.4,,,0,,0,,,,,
1996,22,Massachusetts,,,0.59,0.58,58,0.54,,,0,,0,,,,,
1994,22,Massachusetts,,,0.51,0.5,50,0.47,,,0,,0,,,,,
1992,22,Massachusetts,,,0.65,0.64,64,0.6,,,0,,0,,,,,
1990,22,Massachusetts,,,0.55,0.53,53,0.5,,,0,,0,,,,,
1988,22,Massachusetts,,,0.61,0.6,60,0.57,,,0,,0,,,,,
1986,22,Massachusetts,,,0.41,0.39,39,0.37,,,0,,0,,,,,
1984,22,Massachusetts,,,0.61,0.6,60,0.57,,,0,,0,,,,,
1982,22,Massachusetts,,,0.5,0.49,49,0.47,,,0,,0,,,,,
1980,22,Massachusetts,,,0.62,0.61,61,0.59,,,0,,0,,,,,
2016,23,Michigan,,,0.66,0.65,65,0.62,,,0,,0,,,,,
2014,23,Michigan,,,0.43,0.43,43,0.41,,,0,,0,,,,,
2012,23,Michigan,,,0.65,0.65,65,0.62,,,0,,0,,,,,
2010,23,Michigan,,,0.45,0.45,45,0.43,,,0,,0,,,,,
2008,23,Michigan,,,0.7,0.69,69,0.66,,,0,,0,,,,,
2006,23,Michigan,,,0.53,0.52,52,0.5,,,0,,0,,,,,
2004,23,Michigan,,,0.67,0.67,67,0.64,,,0,,0,,,,,
2002,23,Michigan,,,0.45,0.45,45,0.42,,,0,,0,,,,,
2000,23,Michigan,,,0.61,0.6,60,0.57,,,0,,0,,,,,
1998,23,Michigan,,,0.45,0.43,43,0.42,,,0,,0,,,,,
1996,23,Michigan,,,0.56,0.55,55,0.53,,,0,,0,,,,,
1994,23,Michigan,,,0.46,0.45,45,0.44,,,0,,0,,,,,
1992,23,Michigan,,,0.64,0.63,63,0.61,,,0,,0,,,,,
1990,23,Michigan,,,0.4,0.38,38,0.37,,,0,,0,,,,,
1988,23,Michigan,,,0.57,0.56,56,0.54,,,0,,0,,,,,
1986,23,Michigan,,,0.38,0.37,37,0.36,,,0,,0,,,,,
1984,23,Michigan,,,0.61,0.59,59,0.58,,,0,,0,,,,,
1982,23,Michigan,,,0.49,0.48,48,0.47,,,0,,0,,,,,
1980,23,Michigan,,,0.62,0.61,61,0.6,,,0,,0,,,,,
2016,24,Minnesota,,,0.75,0.74,74,0.69,,,0,,0,,,,,
2014,24,Minnesota,,,0.51,0.5,50,0.47,,,0,,0,,,,,
2012,24,Minnesota,,,0.76,0.76,76,0.71,,,0,,0,,,,,
2010,24,Minnesota,,,0.56,0.55,55,0.52,,,0,,0,,,,,
2008,24,Minnesota,,,0.78,0.78,78,0.73,,,0,,0,,,,,
2006,24,Minnesota,,,0.61,0.6,60,0.56,,,0,,0,,,,,
2004,24,Minnesota,,,0.79,0.78,78,0.74,,,0,,0,,,,,
2002,24,Minnesota,,,,0.64,64,0.6,,,0,,0,,,,,
2000,24,Minnesota,,,0.7,0.7,70,0.66,,,0,,0,,,,,
1998,24,Minnesota,,,0.62,0.62,62,0.59,,,0,,0,,,,,
1996,24,Minnesota,,,0.67,0.66,66,0.63,,,0,,0,,,,,
1994,24,Minnesota,,,0.55,0.55,55,0.52,,,0,,0,,,,,
1992,24,Minnesota,,,0.74,0.74,74,0.71,,,0,,0,,,,,
1990,24,Minnesota,,,0.59,0.58,58,0.56,,,0,,0,,,,,
1988,24,Minnesota,,,0.69,0.68,68,0.66,,,0,,0,,,,,
1986,24,Minnesota,,,0.48,0.47,47,0.46,,,0,,0,,,,,
1984,24,Minnesota,,,0.71,0.7,70,0.69,,,0,,0,,,,,
1982,24,Minnesota,,,0.62,0.61,61,0.6,,,0,,0,,,,,
1980,24,Minnesota,,,0.72,0.71,71,0.7,,,0,,0,,,,,
2016,25,Mississippi,,,,0.56,56,0.53,36,0.408659126,40.8659126,0.514291963,51.4291963,"1,526,057.00","2,967,297.00","1,754,684.00","1,098,385.00","1,212,613.00"
2014,25,Mississippi,,,,0.29,29,0.28,36,0.408659126,40.8659126,0.514291963,51.4291963,"1,526,057.00","2,967,297.00","1,754,684.00","1,098,385.00","1,212,613.00"
2012,25,Mississippi,,,,0.59,59,0.57,36,0.408659126,40.8659126,0.514291963,51.4291963,"1,526,057.00","2,967,297.00","1,754,684.00","1,098,385.00","1,212,613.00"
2010,25,Mississippi,,,,0.37,37,0.36,36,0.408659126,40.8659126,0.514291963,51.4291963,"1,526,057.00","2,967,297.00","1,754,684.00","1,098,385.00","1,212,613.00"
2008,25,Mississippi,,,,0.61,61,0.59,33.8,0.386183155,38.6183155,0.517146174,51.7146174,"1,471,104.00","2,844,658.00","1,746,099.00","1,033,809.00","1,098,559.00"
2006,25,Mississippi,,,,0.29,29,0.29,33.8,0.386183155,38.6183155,0.517146174,51.7146174,"1,471,104.00","2,844,658.00","1,746,099.00","1,033,809.00","1,098,559.00"
2004,25,Mississippi,,,,0.56,56,0.54,33.8,0.386183155,38.6183155,0.517146174,51.7146174,"1,471,104.00","2,844,658.00","1,746,099.00","1,033,809.00","1,098,559.00"
2002,25,Mississippi,,,,0.3,30,0.29,33.8,0.386183155,38.6183155,0.517146174,51.7146174,"1,471,104.00","2,844,658.00","1,746,099.00","1,033,809.00","1,098,559.00"
2000,25,Mississippi,,,,0.49,49,0.48,33.8,0.386183155,38.6183155,0.517146174,51.7146174,"1,471,104.00","2,844,658.00","1,746,099.00","1,033,809.00","1,098,559.00"
1998,25,Mississippi,,,,0.28,28,0.27,31.1,0.365206419,36.5206419,0.521759153,52.1759153,"1,342,599.00","2,573,216.00","1,633,461.00","915,057.00","939,755.00"
1996,25,Mississippi,,,,0.46,46,0.45,31.1,0.365206419,36.5206419,0.521759153,52.1759153,"1,342,599.00","2,573,216.00","1,633,461.00","915,057.00","939,755.00"
1994,25,Mississippi,,,0.33,0.32,32,0.31,31.1,0.365206419,36.5206419,0.521759153,52.1759153,"1,342,599.00","2,573,216.00","1,633,461.00","915,057.00","939,755.00"
1992,25,Mississippi,,,0.54,0.53,53,0.52,31.1,0.365206419,36.5206419,0.521759153,52.1759153,"1,342,599.00","2,573,216.00","1,633,461.00","915,057.00","939,755.00"
1990,25,Mississippi,,,,0.2,20,0.2,31.1,0.365206419,36.5206419,0.521759153,52.1759153,"1,342,599.00","2,573,216.00","1,633,461.00","915,057.00","939,755.00"
1988,25,Mississippi,,,,0.52,52,0.51,27.6,0.359213818,35.9213818,0.518424304,51.8424304,"1,306,760.00","2,520,638.00","1,615,190.00","887,206.00","905,448.00"
1986,25,Mississippi,,,,0.29,29,0.29,27.6,0.359213818,35.9213818,0.518424304,51.8424304,"1,306,760.00","2,520,638.00","1,615,190.00","887,206.00","905,448.00"
1984,25,Mississippi,,,,0.53,53,0.53,27.6,0.359213818,35.9213818,0.518424304,51.8424304,"1,306,760.00","2,520,638.00","1,615,190.00","887,206.00","905,448.00"
1982,25,Mississippi,,,,0.37,37,0.37,27.6,0.359213818,35.9213818,0.518424304,51.8424304,"1,306,760.00","2,520,638.00","1,615,190.00","887,206.00","905,448.00"
1980,25,Mississippi,,,,0.52,52,0.52,27.6,0.359213818,35.9213818,0.518424304,51.8424304,"1,306,760.00","2,520,638.00","1,615,190.00","887,206.00","905,448.00"
2016,26,Missouri,,,0.62,0.62,62,0.6,,,0,,0,,,,,
2014,26,Missouri,,,0.34,0.32,32,0.31,,,0,,0,,,,,
2012,26,Missouri,,,,0.62,62,0.6,,,0,,0,,,,,
2010,26,Missouri,,,0.46,0.45,45,0.42,,,0,,0,,,,,
2008,26,Missouri,,,0.68,0.68,68,0.65,,,0,,0,,,,,
2006,26,Missouri,,,0.51,0.5,50,0.48,,,0,,0,,,,,
2004,26,Missouri,,,0.66,0.65,65,0.63,,,0,,0,,,,,
2002,26,Missouri,,,,0.46,46,0.44,,,0,,0,,,,,
2000,26,Missouri,,,,0.58,58,0.56,,,0,,0,,,,,
1998,26,Missouri,,,,0.4,40,0.38,,,0,,0,,,,,
1996,26,Missouri,,,,0.55,55,0.54,,,0,,0,,,,,
1994,26,Missouri,,,,0.46,46,0.45,,,0,,0,,,,,
1992,26,Missouri,,,,0.63,63,0.62,,,0,,0,,,,,
1990,26,Missouri,,,,0.36,36,0.35,,,0,,0,,,,,
1988,26,Missouri,,,,0.57,57,0.56,,,0,,0,,,,,
1986,26,Missouri,,,,0.4,40,0.4,,,0,,0,,,,,
1984,26,Missouri,,,,0.59,59,0.58,,,0,,0,,,,,
1982,26,Missouri,,,,0.43,43,0.43,,,0,,0,,,,,
1980,26,Missouri,,,,0.6,60,0.59,,,0,,0,,,,,
2016,27,Montana,,,0.64,0.62,62,0.61,,,0,,0,,,,,
2014,27,Montana,,,0.48,0.47,47,0.46,,,0,,0,,,,,
2012,27,Montana,,,0.64,0.63,63,0.62,,,0,,0,,,,,
2010,27,Montana,,,0.48,0.48,48,0.47,,,0,,0,,,,,
2008,27,Montana,,,0.67,0.66,66,0.65,,,0,,0,,,,,
2006,27,Montana,,,0.57,0.56,56,0.56,,,0,,0,,,,,
2004,27,Montana,,,0.65,0.64,64,0.63,,,0,,0,,,,,
2002,27,Montana,,,0.5,0.48,48,0.48,,,0,,0,,,,,
2000,27,Montana,,,0.63,0.62,62,0.61,,,0,,0,,,,,
1998,27,Montana,,,0.52,0.51,51,0.5,,,0,,0,,,,,
1996,27,Montana,,,0.65,0.63,63,0.62,,,0,,0,,,,,
1994,27,Montana,,,0.58,0.56,56,0.56,,,0,,0,,,,,
1992,27,Montana,,,0.7,0.69,69,0.69,,,0,,0,,,,,
1990,27,Montana,,,0.57,0.56,56,0.55,,,0,,0,,,,,
1988,27,Montana,,,0.67,0.64,64,0.64,,,0,,0,,,,,
1986,27,Montana,,,0.57,0.56,56,0.55,,,0,,0,,,,,
1984,27,Montana,,,0.68,0.66,66,0.66,,,0,,0,,,,,
1982,27,Montana,,,0.58,0.56,56,0.56,,,0,,0,,,,,
1980,27,Montana,,,0.67,0.66,66,0.65,,,0,,0,,,,,
2016,28,Nebraska,,,0.64,0.63,63,0.59,,,0,,0,,,,,
2014,28,Nebraska,,,0.41,0.41,41,0.38,,,0,,0,,,,,
2012,28,Nebraska,,,0.61,0.6,60,0.57,,,0,,0,,,,,
2010,28,Nebraska,,,0.39,0.38,38,0.36,,,0,,0,,,,,
2008,28,Nebraska,,,0.64,0.63,63,0.59,,,0,,0,,,,,
2006,28,Nebraska,,,0.49,0.48,48,0.45,,,0,,0,,,,,
2004,28,Nebraska,,,0.64,0.63,63,0.6,,,0,,0,,,,,
2002,28,Nebraska,,,,0.4,40,0.37,,,0,,0,,,,,
2000,28,Nebraska,,,0.58,0.57,57,0.55,,,0,,0,,,,,
1998,28,Nebraska,,,0.49,0.46,46,0.44,,,0,,0,,,,,
1996,28,Nebraska,,,0.58,0.57,57,0.55,,,0,,0,,,,,
1994,28,Nebraska,,,0.51,0.5,50,0.48,,,0,,0,,,,,
1992,28,Nebraska,,,0.65,0.64,64,0.63,,,0,,0,,,,,
1990,28,Nebraska,,,0.53,0.53,53,0.51,,,0,,0,,,,,
1988,28,Nebraska,,,0.6,0.59,59,0.58,,,0,,0,,,,,
1986,28,Nebraska,,,0.52,0.5,50,0.5,,,0,,0,,,,,
1984,28,Nebraska,,,0.59,0.58,58,0.57,,,0,,0,,,,,
1982,28,Nebraska,,,0.5,0.49,49,0.48,,,0,,0,,,,,
1980,28,Nebraska,,,0.58,0.58,58,0.57,,,0,,0,,,,,
2016,29,Nevada,,,0.57,0.57,57,0.49,,,0,,0,,,,,
2014,29,Nevada,,,0.3,0.29,29,0.25,,,0,,0,,,,,
2012,29,Nevada,,,0.57,0.56,56,0.48,,,0,,0,,,,,
2010,29,Nevada,,,0.41,0.41,41,0.35,,,0,,0,,,,,
2008,29,Nevada,,,0.57,0.57,57,0.48,,,0,,0,,,,,
2006,29,Nevada,,,0.37,0.37,37,0.31,,,0,,0,,,,,
2004,29,Nevada,,,0.55,0.55,55,0.47,,,0,,0,,,,,
2002,29,Nevada,,,0.37,0.36,36,0.31,,,0,,0,,,,,
2000,29,Nevada,,,0.46,0.45,45,0.4,,,0,,0,,,,,
1998,29,Nevada,,,0.36,0.35,35,0.31,,,0,,0,,,,,
1996,29,Nevada,,,0.41,0.41,41,0.37,,,0,,0,,,,,
1994,29,Nevada,,,0.37,0.37,37,0.33,,,0,,0,,,,,
1992,29,Nevada,,,0.55,0.54,54,0.49,,,0,,0,,,,,
1990,29,Nevada,,,0.38,0.37,37,0.35,,,0,,0,,,,,
1988,29,Nevada,,,0.46,0.46,46,0.43,,,0,,0,,,,,
1986,29,Nevada,,,0.38,0.37,37,0.35,,,0,,0,,,,,
1984,29,Nevada,,,0.45,0.44,44,0.41,,,0,,0,,,,,
1982,29,Nevada,,,0.39,0.39,39,0.37,,,0,,0,,,,,
1980,29,Nevada,,,0.52,0.43,43,0.41,,,0,,0,,,,,
2016,30,New Hampshire,,,0.73,0.71,71,0.69,,,0,,0,,,,,
2014,30,New Hampshire,,,0.48,0.48,48,0.46,,,0,,0,,,,,
2012,30,New Hampshire,,,0.71,0.7,70,0.68,,,0,,0,,,,,
2010,30,New Hampshire,,,0.46,0.46,46,0.44,,,0,,0,,,,,
2008,30,New Hampshire,,,0.73,0.72,72,0.7,,,0,,0,,,,,
2006,30,New Hampshire,,,0.43,0.41,41,0.4,,,0,,0,,,,,
2004,30,New Hampshire,,,0.72,0.71,71,0.68,,,0,,0,,,,,
2002,30,New Hampshire,,,0.49,0.48,48,0.46,,,0,,0,,,,,
2000,30,New Hampshire,,,0.65,0.64,64,0.61,,,0,,0,,,,,
1998,30,New Hampshire,,,0.38,0.36,36,0.35,,,0,,0,,,,,
1996,30,New Hampshire,,,0.6,0.58,58,0.57,,,0,,0,,,,,
1994,30,New Hampshire,,,0.39,0.38,38,0.37,,,0,,0,,,,,
1992,30,New Hampshire,,,0.67,0.66,66,0.65,,,0,,0,,,,,
1990,30,New Hampshire,,,0.38,0.36,36,0.35,,,0,,0,,,,,
1988,30,New Hampshire,,,0.58,0.56,56,0.55,,,0,,0,,,,,
1986,30,New Hampshire,,,0.34,0.33,33,0.32,,,0,,0,,,,,
1984,30,New Hampshire,,,0.57,0.54,54,0.53,,,0,,0,,,,,
1982,30,New Hampshire,,,0.42,0.41,41,0.41,,,0,,0,,,,,
